PROTEOME ; AUGUSTUS ; ERROR AUGUSTUS
ACOL01000131:c(5356-6807) ; ACOL01000131BRL01_0001:5356-6714(-); error - start (6807/6714)
ACOL01000163:c(4962-6413) ; ACOL01000163BRL01_0001:4962-6341(-); error - start (6413/6341)
ACOL01000103:8557-10002 ; ACOL01000103BRL01_0001:8557-10002(+); OK
ACOL01000169:3168-4613 ; ACOL01000169BRL01_0001:3168-4613(+); OK
ACOL01000191:74-1519 ; ACOL01000191BRL01_0001:74-1519(+); OK
ACOL01000048:c(13442-14884) ; ACOL01000048BRL01_0000:13442-14884(-); OK
ACOL01000075:c(5440-6882) ; ND ; ND
ACOL01000099:c(4237-5676) ; ACOL01000099BRL01_0000:4237-5676(-); OK
ACOL01000117:5522-6961 ; ACOL01000117BRL01_0001:5522-6961(+); OK
ACOL01000005:884-2320 ; ACOL01000005BRL01_0000:884-2320(+); OK
ACOL01000023:11114-12550 ; ACOL01000023BRL01_0000:11114-12550(+); OK
ACOL01000041:1686-3122 ; ACOL01000041BRL01_0000:1686-3122(+); OK
ACOL01000144:1389-2822 ; ACOL01000144BRL01_0001:1389-2822(+); OK
ACOL01000013:c(21011-22441) ; ACOL01000013BRL01_0000:21011-22441(-); OK
ACOL01000021:11649-13079 ; ACOL01000021BRL01_0000:11967-13079(+); error - start (11649/11967)
ACOL01000078:c(3133-4563) ; ACOL01000078BRL01_0000:3133-4563(-); OK
ACOL01000091:c(8359-9789) ; ACOL01000091BRL01_0000:8359-9789(-); OK
ACOL01000056:c(7080-8507) ; ACOL01000056BRL01_0000:7080-8507(-); OK
ACOL01000001:54665-56089 ; ACOL01000001BRL01_0000:54665-56089(+); OK
ACOL01000009:15397-16821 ; ACOL01000009BRL01_0000:15397-16821(+); OK
ACOL01000087:c(4094-5518) ; ACOL01000087BRL01_0000:4094-5518(-); OK
ACOL01000011:c(11899-13320) ; ACOL01000011BRL01_0000:11899-13320(-); OK
ACOL01000060:6063-7484 ; ACOL01000060BRL01_0000:6480-7484(+); error - start (6063/6480)
ACOL01000695:382-1803 ; ACOL01000695BRL01_0006:382-1803(+); OK
ACOL01000064:c(5391-6809) ; ACOL01000064BRL01_0000:5391-6809(-); OK
ACOL01000049:2003-3418 ; ACOL01000049BRL01_0000:3083-3418(+); error - start (2003/3083)
ACOL01000012:5648-7060 ; ACOL01000012BRL01_0000:5648-7060(+); OK
ACOL01000112:7142-8554 ; ACOL01000112BRL01_0001:7142-8554(+); OK
ACOL01000153:2604-4016 ; ACOL01000153BRL01_0001:2604-4016(+); OK
ACOL01000004:c(12175-13584) ; ND ; ND
ACOL01000054:763-2172 ; ACOL01000054BRL01_0000:763-2172(+); OK
ACOL01000018:c(6038-7441) ; ACOL01000018BRL01_0000:6038-7441(-); OK
ACOL01000068:c(11438-12841) ; ND ; ND
ACOL01000003:4125-5525 ; ND ; ND
ACOL01000211:2027-3427 ; ACOL01000211BRL01_0002:2027-3427(+); OK
ACOL01000104:c(8225-9619) ; ACOL01000104BRL01_0001:8225-9619(-); OK
ACOL01000006:c(439-1830) ; ACOL01000006BRL01_0000:439-1815(-); error - start (1830/1815)
ACOL01000022:c(6527-7915) ; ND ; ND
ACOL01000416:1306-2694 ; ACOL01000416BRL01_0004:1306-2694(+); OK
ACOL01000221:c(1965-3350) ; ACOL01000221BRL01_0002:1965-3350(-); OK
ACOL01000137:6276-7658 ; ACOL01000137BRL01_0001:6297-7658(+); error - start (6276/6297)
ACOL01000012:16801-18180 ; ACOL01000012BRL01_0000:16801-18180(+); OK
ACOL01000576:635-2014 ; ACOL01000576BRL01_0005:635-2014(+); OK
ACOL01000095:2742-4118 ; ACOL01000095BRL01_0000:2742-4118(+); OK
ACOL01000009:17173-18546 ; ACOL01000009BRL01_0000:17173-18546(+); OK
ACOL01000002:c(30380-31747) ; ND ; ND
ACOL01000357:c(776-2143) ; ACOL01000357BRL01_0003:776-1993(-); error - start (2143/1993)
ACOL01000095:c(6571-7935) ; ACOL01000095BRL01_0000:6571-7905(-); error - start (7935/7905)
ACOL01000056:3122-4483 ; ACOL01000056BRL01_0000:3122-4483(+); OK
ACOL01000265:3002-4363 ; ND ; ND
ACOL01000284:3515-4873 ; ACOL01000284BRL01_0002:3515-4873(+); OK
ACOL01000013:c(24248-25600) ; ACOL01000013BRL01_0000:24248-25264(-); error - start (25600/25264)
ACOL01000463:224-1573 ; ND ; ND
ACOL01000011:c(19090-20436) ; ACOL01000011BRL01_0000:19090-20436(-); OK
ACOL01000031:c(2804-4150) ; ACOL01000031BRL01_0000:2804-4150(-); OK
ACOL01000040:672-2015 ; ACOL01000040BRL01_0000:672-2015(+); OK
ACOL01000107:c(3931-5274) ; ACOL01000107BRL01_0001:3931-5274(-); OK
ACOL01000197:5158-6498 ; ACOL01000197BRL01_0001:5158-6498(+); OK
ACOL01000201:c(5150-6490) ; ACOL01000201BRL01_0002:5150-5470(-); error - start (6490/5470)
ACOL01000005:15924-17261 ; ACOL01000005BRL01_0000:16437-17261(+); error - start (15924/16437)
ACOL01000097:c(3535-4872) ; ND ; ND
ACOL01000019:c(7804-9135) ; ACOL01000019BRL01_0000:7804-9135(-); OK
ACOL01000250:c(3433-4761) ; ACOL01000250BRL01_0002:3433-4761(-); OK
ACOL01000046:10623-11948 ; ND ; ND
ACOL01000091:c(718-2043) ; ND ; ND
ACOL01000027:c(11154-12476) ; ACOL01000027BRL01_0000:11154-12476(-); OK
ACOL01000606:94-1416 ; ACOL01000606BRL01_0006:94-1416(+); OK
ACOL01000006:c(16184-17503) ; ACOL01000006BRL01_0000:16184-16978(-); error - start (17503/16978)
ACOL01000076:5677-6996 ; ND ; ND
ACOL01000078:10357-11676 ; ACOL01000078BRL01_0000:10357-11676(+); OK
ACOL01000084:3085-4404 ; ACOL01000084BRL01_0000:3085-4404(+); OK
ACOL01000090:c(3709-5025) ; ACOL01000090BRL01_0000:3709-4332(-); error - start (5025/4332)
ACOL01000262:4041-5357 ; ACOL01000262BRL01_0002:4041-5357(+); OK
ACOL01000500:c(1204-2520) ; ACOL01000500BRL01_0005:1204-1608(-); error - start (2520/1608)
ACOL01000514:101-1417 ; ND ; ND
ACOL01000078:c(4817-6130) ; ACOL01000078BRL01_0000:4817-6130(-); OK
ACOL01000120:8001-9314 ; ACOL01000120BRL01_0001:8325-9314(+); error - start (8001/8325)
ACOL01000523:c(734-2044) ; ACOL01000523BRL01_0005:734-2044(-); OK
ACOL01000086:5330-6637 ; ND ; ND
ACOL01000179:6053-7357 ; ACOL01000179BRL01_0001:6143-7357(+); error - start (6053/6143)
ACOL01000200:c(1067-2371) ; ACOL01000200BRL01_0002:1067-2371(-); OK
ACOL01000533:786-2090 ; ACOL01000533BRL01_0005:876-1538(+); error (786/876)(2090/1538)
ACOL01000030:c(4256-5557) ; ND ; ND
ACOL01000079:c(10640-11941) ; ACOL01000079BRL01_0000:10640-11941(-); OK
ACOL01000092:10042-11343 ; ACOL01000092BRL01_0000:10042-11343(+); OK
ACOL01000188:c(1080-2381) ; ND ; ND
ACOL01000175:c(424-1722) ; ND ; ND
ACOL01000048:c(9092-10387) ; ACOL01000048BRL01_0000:9092-10387(-); OK
ACOL01000050:c(7690-8985) ; ACOL01000050BRL01_0000:7690-8985(-); OK
ACOL01000094:9001-10293 ; ACOL01000094BRL01_0000:9040-10293(+); error - start (9001/9040)
ACOL01000114:271-1563 ; ACOL01000114BRL01_0001:271-1563(+); OK
ACOL01000002:13869-15158 ; ACOL01000002BRL01_0000:13869-15158(+); OK
ACOL01000067:10925-12211 ; ACOL01000067BRL01_0000:10925-12211(+); OK
ACOL01000072:c(7338-8624) ; ND ; ND
ACOL01000193:520-1806 ; ND ; ND
ACOL01000002:35894-37177 ; ND ; ND
ACOL01000003:c(32370-33653) ; ND ; ND
ACOL01000027:13948-15231 ; ACOL01000027BRL01_0000:13948-15231(+); OK
ACOL01000048:c(6250-7533) ; ACOL01000048BRL01_0000:6250-7533(-); OK
ACOL01000064:183-1466 ; ACOL01000064BRL01_0000:183-1466(+); OK
ACOL01000020:5951-7231 ; ACOL01000020BRL01_0000:5990-7231(+); error - start (5951/5990)
ACOL01000090:c(1935-3215) ; ACOL01000090BRL01_0000:1935-3215(-); OK
ACOL01000120:4248-5528 ; ACOL01000120BRL01_0001:4248-5528(+); OK
ACOL01000092:3269-4546 ; ACOL01000092BRL01_0000:3371-4546(+); error - start (3269/3371)
ACOL01000106:3226-4503 ; ACOL01000106BRL01_0001:3226-4503(+); OK
ACOL01000197:c(2628-3905) ; ACOL01000197BRL01_0001:2628-3905(-); OK
ACOL01000618:498-1775 ; ACOL01000618BRL01_0006:498-1775(+); OK
ACOL01000055:4219-5493 ; ACOL01000055BRL01_0000:4924-5493(+); error - start (4219/4924)
ACOL01000065:c(11876-13150) ; ACOL01000065BRL01_0000:12232-13150(-); error - end (11876/12232)
ACOL01000141:c(5700-6974) ; ND ; ND
ACOL01000206:c(1920-3194) ; ACOL01000206BRL01_0002:1920-3044(-); error - start (3194/3044)
ACOL01000025:6089-7360 ; ACOL01000025BRL01_0000:6302-7360(+); error - start (6089/6302)
ACOL01000028:c(7223-8494) ; ACOL01000028BRL01_0000:7223-8494(-); OK
ACOL01000104:726-1997 ; ACOL01000104BRL01_0001:816-1997(+); error - start (726/816)
ACOL01000615:c(132-1403) ; ACOL01000615BRL01_0006:132-1403(-); OK
ACOL01000018:c(3743-5011) ; ND ; ND
ACOL01000505:c(1340-2608) ; ACOL01000505BRL01_0005:1340-2608(-); OK
ACOL01000012:11868-13133 ; ACOL01000012BRL01_0000:11868-13133(+); OK
ACOL01000046:15629-16894 ; ND ; ND
ACOL01000426:c(637-1902) ; ACOL01000426BRL01_0004:637-1902(-); OK
ACOL01000002:5112-6374 ; ACOL01000002BRL01_0000:5112-6374(+); OK
ACOL01000168:4680-5942 ; ACOL01000168BRL01_0001:4680-5942(+); OK
ACOL01000742:355-1617 ; ACOL01000742BRL01_0007:355-1617(+); OK
ACOL01000001:19974-21233 ; ND ; ND
ACOL01000019:c(2844-4103) ; ACOL01000019BRL01_0000:2844-4103(-); OK
ACOL01000191:c(4960-6219) ; ACOL01000191BRL01_0001:4960-6219(-); OK
ACOL01000023:c(7822-9075) ; ACOL01000023BRL01_0000:7822-9075(-); OK
ACOL01000060:c(8424-9677) ; ACOL01000060BRL01_0000:8424-9677(-); OK
ACOL01000166:c(3807-5060) ; ACOL01000166BRL01_0001:3807-5060(-); OK
ACOL01000006:c(5403-6653) ; ACOL01000006BRL01_0000:5403-6653(-); OK
ACOL01000054:2207-3451 ; ND ; ND
ACOL01000116:c(4279-5523) ; ACOL01000116BRL01_0001:4279-5523(-); OK
ACOL01000307:c(638-1882) ; ACOL01000307BRL01_0003:638-1882(-); OK
ACOL01000687:c(1-1246) ; ND ; ND
ACOL01000018:14875-16116 ; ACOL01000018BRL01_0000:15118-16116(+); error - start (14875/15118)
ACOL01000264:c(335-1576) ; ACOL01000264BRL01_0002:335-1576(-); OK
ACOL01000026:46-1284 ; ACOL01000026BRL01_0000:115-1284(+); error - start (46/115)
ACOL01000209:c(592-1830) ; ACOL01000209BRL01_0002:592-1830(-); OK
ACOL01000051:6785-8020 ; ACOL01000051BRL01_0000:6827-8020(+); error - start (6785/6827)
ACOL01000487:c(1195-2430) ; ACOL01000487BRL01_0004:1195-1941(-); error - start (2430/1941)
ACOL01000027:c(5529-6761) ; ACOL01000027BRL01_0000:5529-6761(-); OK
ACOL01000204:c(108-1340) ; ACOL01000204BRL01_0002:108-1340(-); OK
ACOL01000310:1438-2670 ; ACOL01000310BRL01_0003:1438-2670(+); OK
ACOL01000545:c(526-1758) ; ND ; ND
ACOL01000048:c(2778-4007) ; ACOL01000048BRL01_0000:2778-3485(-); error - start (4007/3485)
ACOL01000401:23-1252 ; ACOL01000401BRL01_0004:23-1252(+); OK
ACOL01000001:18140-19366 ; ACOL01000001BRL01_0000:18140-19366(+); OK
ACOL01000017:16498-17724 ; ND ; ND
ACOL01000034:3110-4336 ; ACOL01000034BRL01_0000:3110-4336(+); OK
ACOL01000076:7390-8616 ; ACOL01000076BRL01_0000:7390-8616(+); OK
ACOL01000001:c(5477-6700) ; ND ; ND
ACOL01000059:6412-7635 ; ACOL01000059BRL01_0000:6412-7635(+); OK
ACOL01000725:c(207-1430) ; ACOL01000725BRL01_0007:207-1385(-); error - start (1430/1385)
ACOL01000064:7685-8905 ; ACOL01000064BRL01_0000:7685-8905(+); OK
ACOL01000137:4858-6078 ; ACOL01000137BRL01_0001:5014-6078(+); error - start (4858/5014)
ACOL01000057:6550-7767 ; ND ; ND
ACOL01000079:c(7659-8876) ; ND ; ND
ACOL01000022:19936-21150 ; ACOL01000022BRL01_0000:19936-21150(+); OK
ACOL01000184:152-1366 ; ACOL01000184BRL01_0001:152-1366(+); OK
ACOL01000216:4553-5767 ; ACOL01000216BRL01_0002:4664-5767(+); error - start (4553/4664)
ACOL01000028:11111-12322 ; ACOL01000028BRL01_0000:11111-12322(+); OK
ACOL01000034:11315-12526 ; ACOL01000034BRL01_0000:11315-12280(+); error - end (12526/12280)
ACOL01000067:c(8513-9724) ; ND ; ND
ACOL01000119:c(1239-2450) ; ACOL01000119BRL01_0001:1239-2450(-); OK
ACOL01000049:5174-6382 ; ACOL01000049BRL01_0000:5174-6382(+); OK
ACOL01000044:4836-6041 ; ACOL01000044BRL01_0000:4836-6041(+); OK
ACOL01000045:12555-13760 ; ACOL01000045BRL01_0000:13347-13760(+); error - start (12555/13347)
ACOL01000155:c(4282-5487) ; ACOL01000155BRL01_0001:4282-5487(-); OK
ACOL01000182:4836-6041 ; ACOL01000182BRL01_0001:4836-6041(+); OK
ACOL01000130:8147-9349 ; ACOL01000130BRL01_0001:8147-9349(+); OK
ACOL01000215:c(1255-2457) ; ACOL01000215BRL01_0002:1255-2457(-); OK
ACOL01000005:33897-35096 ; ACOL01000005BRL01_0000:33897-35096(+); OK
ACOL01000018:c(8703-9902) ; ACOL01000018BRL01_0000:8703-9902(-); OK
ACOL01000007:152-1345 ; ACOL01000007BRL01_0000:152-1345(+); OK
ACOL01000032:16216-17409 ; ND ; ND
ACOL01000050:c(15147-16340) ; ACOL01000050BRL01_0000:15147-16340(-); OK
ACOL01000008:8967-10157 ; ND ; ND
ACOL01000035:c(16889-18079) ; ACOL01000035BRL01_0000:16889-18079(-); OK
ACOL01000122:c(6194-7381) ; ACOL01000122BRL01_0001:6194-7381(-); OK
ACOL01000225:137-1321 ; ACOL01000225BRL01_0002:137-1321(+); OK
ACOL01000001:c(23492-24673) ; ACOL01000001BRL01_0000:23492-24673(-); OK
ACOL01000044:12693-13874 ; ACOL01000044BRL01_0000:12693-13874(+); OK
ACOL01000078:c(9032-10213) ; ACOL01000078BRL01_0000:9032-9937(-); error - start (10213/9937)
ACOL01000152:c(414-1595) ; ACOL01000152BRL01_0001:414-1595(-); OK
ACOL01000173:6437-7618 ; ND ; ND
ACOL01000200:3734-4915 ; ACOL01000200BRL01_0002:4052-4915(+); error - start (3734/4052)
ACOL01000025:c(4457-5635) ; ACOL01000025BRL01_0000:4457-5635(-); OK
ACOL01000047:12785-13963 ; ACOL01000047BRL01_0000:12785-13963(+); OK
ACOL01000038:3985-5160 ; ACOL01000038BRL01_0000:3985-5160(+); OK
ACOL01000062:c(9566-10741) ; ACOL01000062BRL01_0000:9566-10741(-); OK
ACOL01000409:c(2012-3187) ; ND ; ND
ACOL01000003:c(43382-44554) ; ACOL01000003BRL01_0000:43382-44554(-); OK
ACOL01000004:c(30660-31832) ; ACOL01000004BRL01_0000:30660-31832(-); OK
ACOL01000018:c(10007-11179) ; ACOL01000018BRL01_0000:10007-11008(-); error - start (11179/11008)
ACOL01000100:c(8330-9502) ; ACOL01000100BRL01_0001:8330-9502(-); OK
ACOL01000299:c(2720-3892) ; ND ; ND
ACOL01000002:c(43981-45150) ; ACOL01000002BRL01_0000:43981-45150(-); OK
ACOL01000044:c(7453-8622) ; ACOL01000044BRL01_0000:7453-8622(-); OK
ACOL01000048:c(7687-8853) ; ACOL01000048BRL01_0000:7687-8853(-); OK
ACOL01000243:c(152-1318) ; ACOL01000243BRL01_0002:152-1294(-); error - start (1318/1294)
ACOL01000045:13883-15046 ; ACOL01000045BRL01_0000:13883-15046(+); OK
ACOL01000272:c(3426-4589) ; ACOL01000272BRL01_0002:3426-4589(-); OK
ACOL01000005:17917-19077 ; ACOL01000005BRL01_0000:17917-19077(+); OK
ACOL01000236:4524-5684 ; ND ; ND
ACOL01000001:c(3256-4413) ; ACOL01000001BRL01_0000:3256-4398(-); error - start (4413/4398)
ACOL01000035:10197-11354 ; ACOL01000035BRL01_0000:10197-11354(+); OK
ACOL01000036:c(9410-10567) ; ACOL01000036BRL01_0000:9410-9955(-); error - start (10567/9955)
ACOL01000037:3357-4514 ; ACOL01000037BRL01_0000:3357-4514(+); OK
ACOL01000106:c(1878-3035) ; ACOL01000106BRL01_0001:1878-3035(-); OK
ACOL01000287:c(204-1361) ; ACOL01000287BRL01_0002:204-1361(-); OK
ACOL01000008:14451-15605 ; ACOL01000008BRL01_0000:14451-15605(+); OK
ACOL01000059:7773-8927 ; ACOL01000059BRL01_0000:7773-8927(+); OK
ACOL01000118:8893-10047 ; ND ; ND
ACOL01000123:c(666-1820) ; ND ; ND
ACOL01000403:1644-2798 ; ND ; ND
ACOL01000105:c(739-1890) ; ACOL01000105BRL01_0001:739-1890(-); OK
ACOL01000107:c(2532-3683) ; ND ; ND
ACOL01000134:c(7754-8905) ; ACOL01000134BRL01_0001:7754-8905(-); OK
ACOL01000522:255-1406 ; ACOL01000522BRL01_0005:426-1406(+); error - start (255/426)
ACOL01000051:15137-16285 ; ND ; ND
ACOL01000153:6896-8044 ; ACOL01000153BRL01_0001:6896-8044(+); OK
ACOL01000183:c(5157-6305) ; ND ; ND
ACOL01000015:c(19666-20811) ; ACOL01000015BRL01_0000:19666-20811(-); OK
ACOL01000031:6579-7724 ; ACOL01000031BRL01_0000:6579-7724(+); OK
ACOL01000059:10246-11391 ; ACOL01000059BRL01_0000:10246-11391(+); OK
ACOL01000307:3430-4575 ; ACOL01000307BRL01_0003:3430-4575(+); OK
ACOL01000015:c(21881-23023) ; ND ; ND
ACOL01000028:5659-6801 ; ACOL01000028BRL01_0000:5659-6801(+); OK
ACOL01000050:9762-10904 ; ACOL01000050BRL01_0000:9762-10904(+); OK
ACOL01000049:c(15328-16467) ; ACOL01000049BRL01_0000:15328-16467(-); OK
ACOL01000077:4403-5542 ; ACOL01000077BRL01_0000:4403-5542(+); OK
ACOL01000149:1873-3012 ; ACOL01000149BRL01_0001:1873-3012(+); OK
ACOL01000299:c(1387-2526) ; ACOL01000299BRL01_0002:1387-2475(-); error - start (2526/2475)
ACOL01000097:c(141-1277) ; ACOL01000097BRL01_0000:141-1277(-); OK
ACOL01000121:8633-9769 ; ND ; ND
ACOL01000017:c(8511-9644) ; ACOL01000017BRL01_0000:8511-9644(-); OK
ACOL01000099:9547-10680 ; ND ; ND
ACOL01000159:c(6191-7324) ; ACOL01000159BRL01_0001:6191-7324(-); OK
ACOL01000159:4988-6118 ; ACOL01000159BRL01_0001:4988-6118(+); OK
ACOL01000039:c(5317-6444) ; ND ; ND
ACOL01000222:3497-4624 ; ACOL01000222BRL01_0002:3497-4624(+); OK
ACOL01000057:10776-11900 ; ACOL01000057BRL01_0000:10776-11900(+); OK
ACOL01000020:c(20871-21992) ; ACOL01000020BRL01_0000:20871-21992(-); OK
ACOL01000026:6602-7723 ; ACOL01000026BRL01_0000:6602-7723(+); OK
ACOL01000035:c(11966-13084) ; ACOL01000035BRL01_0000:11966-13084(-); OK
ACOL01000078:103-1218 ; ND ; ND
ACOL01000658:564-1676 ; ACOL01000658BRL01_0006:564-1676(+); OK
ACOL01000014:24767-25876 ; ACOL01000014BRL01_0000:24767-25876(+); OK
ACOL01000044:3068-4177 ; ACOL01000044BRL01_0000:3068-4177(+); OK
ACOL01000026:c(18426-19532) ; ACOL01000026BRL01_0000:18426-19532(-); OK
ACOL01000180:3441-4547 ; ACOL01000180BRL01_0001:3441-4547(+); OK
ACOL01000642:263-1369 ; ACOL01000642BRL01_0006:263-1369(+); OK
ACOL01000025:c(17687-18790) ; ACOL01000025BRL01_0000:17687-18790(-); OK
ACOL01000049:c(3426-4529) ; ACOL01000049BRL01_0000:3426-4529(-); OK
ACOL01000175:c(2981-4084) ; ACOL01000175BRL01_0001:2981-4084(-); OK
ACOL01000002:50438-51538 ; ACOL01000002BRL01_0000:50657-51538(+); error - start (50438/50657)
ACOL01000043:12613-13713 ; ACOL01000043BRL01_0000:12613-13713(+); OK
ACOL01000440:c(1129-2229) ; ND ; ND
ACOL01000142:c(1036-2133) ; ND ; ND
ACOL01000051:4805-5899 ; ACOL01000051BRL01_0000:4805-5899(+); OK
ACOL01000101:225-1319 ; ACOL01000101BRL01_0001:225-1319(+); OK
ACOL01000026:c(16578-17669) ; ND ; ND
ACOL01000109:3539-4630 ; ACOL01000109BRL01_0001:3539-4630(+); OK
ACOL01000007:19637-20725 ; ACOL01000007BRL01_0000:19637-20725(+); OK
ACOL01000068:c(6341-7429) ; ACOL01000068BRL01_0000:6341-7429(-); OK
ACOL01000141:c(1900-2988) ; ACOL01000141BRL01_0001:1900-2988(-); OK
ACOL01000152:c(5226-6314) ; ACOL01000152BRL01_0001:5226-6314(-); OK
ACOL01000277:1267-2355 ; ACOL01000277BRL01_0002:1885-2355(+); error - start (1267/1885)
ACOL01000284:107-1195 ; ACOL01000284BRL01_0002:107-1195(+); OK
ACOL01000069:7454-8533 ; ACOL01000069BRL01_0000:7454-8533(+); OK
ACOL01000222:c(299-1378) ; ACOL01000222BRL01_0002:299-1294(-); error - start (1378/1294)
ACOL01000009:c(25467-26540) ; ACOL01000009BRL01_0000:25467-26540(-); OK
ACOL01000017:117-1190 ; ACOL01000017BRL01_0000:117-1190(+); OK
ACOL01000001:22238-23308 ; ACOL01000001BRL01_0000:22238-23308(+); OK
ACOL01000437:750-1820 ; ACOL01000437BRL01_0004:750-1820(+); OK
ACOL01000355:2320-3387 ; ACOL01000355BRL01_0003:2320-3387(+); OK
ACOL01000012:c(1252-2313) ; ACOL01000012BRL01_0000:1252-2208(-); error - start (2313/2208)
ACOL01000023:5973-7034 ; ACOL01000023BRL01_0000:5973-7034(+); OK
ACOL01000066:12781-13842 ; ACOL01000066BRL01_0000:12781-13842(+); OK
ACOL01000316:2014-3075 ; ACOL01000316BRL01_0003:2224-3075(+); error - start (2014/2224)
ACOL01000645:281-1342 ; ACOL01000645BRL01_0006:281-1342(+); OK
ACOL01000034:c(12523-13581) ; ACOL01000034BRL01_0000:12523-13581(-); OK
ACOL01000112:c(1869-2927) ; ACOL01000112BRL01_0001:1869-2927(-); OK
ACOL01000116:c(36-1094) ; ACOL01000116BRL01_0001:36-1094(-); OK
ACOL01000153:c(247-1305) ; ACOL01000153BRL01_0001:247-1305(-); OK
ACOL01000643:c(221-1276) ; ACOL01000643BRL01_0006:221-1276(-); OK
ACOL01000344:1141-2193 ; ACOL01000344BRL01_0003:1141-2193(+); OK
ACOL01000431:c(1659-2711) ; ACOL01000431BRL01_0004:1659-2579(-); error - start (2711/2579)
ACOL01000071:c(7950-8993) ; ND ; ND
ACOL01000128:5406-6449 ; ACOL01000128BRL01_0001:5406-6449(+); OK
ACOL01000015:4021-5061 ; ACOL01000015BRL01_0000:4021-5061(+); OK
ACOL01000082:c(5897-6937) ; ACOL01000082BRL01_0000:5897-6937(-); OK
ACOL01000108:3481-4521 ; ND ; ND
ACOL01000002:c(45453-46490) ; ACOL01000002BRL01_0000:45453-46490(-); OK
ACOL01000007:1452-2489 ; ND ; ND
ACOL01000009:c(13345-14382) ; ACOL01000009BRL01_0000:13345-14382(-); OK
ACOL01000114:c(9191-10228) ; ACOL01000114BRL01_0001:9191-9610(-); error - start (10228/9610)
ACOL01000295:c(3724-4761) ; ACOL01000295BRL01_0002:3724-4761(-); OK
ACOL01000005:32237-33271 ; ACOL01000005BRL01_0000:32237-33271(+); OK
ACOL01000291:3418-4452 ; ACOL01000291BRL01_0002:3418-4452(+); OK
ACOL01000009:c(27077-28108) ; ACOL01000009BRL01_0000:27077-28069(-); error - start (28108/28069)
ACOL01000019:5396-6427 ; ACOL01000019BRL01_0000:5396-6427(+); OK
ACOL01000839:c(273-1304) ; ND ; ND
ACOL01000013:c(12604-13632) ; ACOL01000013BRL01_0000:12604-13632(-); OK
ACOL01000032:c(7581-8606) ; ACOL01000032BRL01_0000:7581-8606(-); OK
ACOL01000438:353-1375 ; ACOL01000438BRL01_0004:419-1375(+); error - start (353/419)
ACOL01000016:c(6684-7703) ; ACOL01000016BRL01_0000:6684-7703(-); OK
ACOL01000037:c(13776-14795) ; ACOL01000037BRL01_0000:13776-14768(-); error - start (14795/14768)
ACOL01000128:c(1160-2179) ; ACOL01000128BRL01_0001:1160-2179(-); OK
ACOL01000726:c(26-1045) ; ACOL01000726BRL01_0007:26-607(-); error - start (1045/607)
ACOL01000004:c(16744-17760) ; ACOL01000004BRL01_0000:16744-17760(-); OK
ACOL01000037:6793-7809 ; ACOL01000037BRL01_0000:6793-7809(+); OK
ACOL01000070:10052-11068 ; ND ; ND
ACOL01000128:c(3954-4970) ; ACOL01000128BRL01_0001:3954-4970(-); OK
ACOL01000260:278-1294 ; ACOL01000260BRL01_0002:476-1294(+); error - start (278/476)
ACOL01000047:c(10818-11831) ; ACOL01000047BRL01_0000:10818-11831(-); OK
ACOL01000068:c(1518-2531) ; ACOL01000068BRL01_0000:1518-2531(-); OK
ACOL01000126:118-1131 ; ACOL01000126BRL01_0001:118-1131(+); OK
ACOL01000187:2005-3018 ; ACOL01000187BRL01_0001:2005-3018(+); OK
ACOL01000291:c(1-1015) ; ND ; ND
ACOL01000458:c(435-1448) ; ND ; ND
ACOL01000026:8276-9286 ; ACOL01000026BRL01_0000:8276-9286(+); OK
ACOL01000045:10117-11127 ; ACOL01000045BRL01_0000:10117-11127(+); OK
ACOL01000262:928-1938 ; ACOL01000262BRL01_0002:928-1938(+); OK
ACOL01000001:c(323-1330) ; ACOL01000001BRL01_0000:323-1330(-); OK
ACOL01000003:20175-21179 ; ACOL01000003BRL01_0000:20277-21179(+); error - start (20175/20277)
ACOL01000010:16449-17453 ; ACOL01000010BRL01_0000:16449-17453(+); OK
ACOL01000046:14109-15113 ; ACOL01000046BRL01_0000:14109-15113(+); OK
ACOL01000058:7480-8481 ; ACOL01000058BRL01_0000:7480-8481(+); OK
ACOL01000021:4506-5504 ; ACOL01000021BRL01_0000:4506-5504(+); OK
ACOL01000058:c(9936-10934) ; ACOL01000058BRL01_0000:9936-10934(-); OK
ACOL01000168:5988-6986 ; ACOL01000168BRL01_0001:5988-6986(+); OK
ACOL01000030:15967-16962 ; ND ; ND
ACOL01000072:686-1681 ; ACOL01000072BRL01_0000:686-1681(+); OK
ACOL01000040:c(11285-12277) ; ACOL01000040BRL01_0000:11285-12277(-); OK
ACOL01000059:460-1452 ; ND ; ND
ACOL01000001:c(57009-57998) ; ACOL01000001BRL01_0000:57009-57998(-); OK
ACOL01000004:23774-24763 ; ACOL01000004BRL01_0000:23774-24763(+); OK
ACOL01000006:4258-5247 ; ACOL01000006BRL01_0000:4258-5247(+); OK
ACOL01000055:c(12839-13828) ; ACOL01000055BRL01_0000:12839-13828(-); OK
ACOL01000026:c(14286-15272) ; ACOL01000026BRL01_0000:14286-15272(-); OK
ACOL01000139:7541-8527 ; ND ; ND
ACOL01000381:1910-2896 ; ACOL01000381BRL01_0003:2039-2896(+); error - start (1910/2039)
ACOL01000484:c(1568-2554) ; ACOL01000484BRL01_0004:1568-2554(-); OK
ACOL01000019:c(13874-14857) ; ACOL01000019BRL01_0000:13874-14857(-); OK
