PROTEOME ; AUGUSTUS ; ERROR AUGUSTUS
AL590446:c(105760-107181) ; AL590446:105760-107181(-); OK
AL391737:79055-80473 ; AL391737:79055-80473(+); OK
AL590443:117275-118690 ; AL590443:117362-118690(+); error - start (117275/117362)
AL590444:143627-145042 ; AL590444:143627-145042(+); OK
AL590443:18891-20294 ; AL590443:18906-20294(+); error - start (18891/18906)
AL590448:c(164951-166354) ; AL590448:164951-166354(-); OK
AL590450:c(233996-235399) ; AL590450:233996-235399(-); OK
AL590444:126603-128003 ; AL590444:126603-128003(+); OK
AL590448:24972-26372 ; AL590448:24972-26372(+); OK
AL590448:c(223792-225192) ; AL590448:223792-224577(-); error - start (225192/224577)
AL590451:c(206583-207983) ; AL590451:206583-208094(-); error - start (207983/208094)
AL391737:c(132275-133672) ; AL391737:132275-133672(-); OK
AL590442:68198-69595 ; AL590442:68198-69595(+); OK
AL590443:c(115708-117105) ; AL590443:115708-117105(-); OK
AL590446:163741-165138 ; AL590446:163741-165138(+); OK
AL590450:c(91577-92974) ; AL590450:91577-93067(-); error - start (92974/93067)
AL590443:c(171733-173127) ; AL590443:171733-173127(-); OK
AL590446:c(182452-183843) ; AL590446:182452-183843(-); OK
AL590449:c(93595-94986) ; AL590449:93595-94986(-); OK
AL391737:34088-35470 ; AL391737:34088-35470(+); OK
AL391737:34088-35470 ; AL391737:174513-175895(-); error (34088/174513)(35470/175895)
AL590446:19880-21262 ; AL590446:19925-21262(+); error - start (19880/19925)
AL391737:c(95229-96608) ; AL391737:95229-96608(-); OK
AL590451:168487-169866 ; AL590451:168487-169866(+); OK
AL590450:228663-230042 ; AL590450:229629-230042(+); error - start (228663/229629)
AL391737:80583-81959 ; AL391737:80619-81959(+); error - start (80583/80619)
AL590445:3775-5148 ; ND ; ND
AL590445:61075-62448 ; AL590445:61075-62448(+); OK
AL590451:180711-182084 ; AL590451:180711-182084(+); OK
AL590449:134344-135717 ; AL590449:134344-135717(+); OK
AL590449:210819-212189 ; AL590449:210819-212189(+); OK
AL590442:54385-55752 ; AL590442:54385-55752(+); OK
AL590448:158325-159686 ; AL590448:158325-159686(+); OK
AL590443:106631-107989 ; ND ; ND
AL590445:115344-116702 ; AL590445:115344-116702(+); OK
AL590450:c(109255-110613) ; AL590450:109255-110613(-); OK
AL590451:c(196279-197634) ; AL590451:196279-197634(-); OK
AL590449:35797-37152 ; AL590449:35797-37152(+); OK
AL590443:188028-189380 ; AL590443:188028-189380(+); OK
AL590449:228751-230103 ; AL590449:228751-230103(+); OK
AL590449:230313-231662 ; AL590449:230313-231662(+); OK
AL590451:c(48150-49490) ; AL590451:48150-49490(-); OK
AL590449:c(70456-71796) ; AL590449:70456-71796(-); OK
AL590450:c(147260-148600) ; AL590450:147260-148600(-); OK
AL590442:c(95701-97038) ; AL590442:95701-97038(-); OK
AL590448:138306-139643 ; AL590448:138327-139643(+); error - start (138306/138327)
AL590447:63903-65237 ; AL590447:63903-65237(+); OK
AL590446:99939-101264 ; AL590446:99939-101264(+); OK
AL590447:142302-143627 ; AL590447:142302-143627(+); OK
AL391737:42130-43452 ; AL391737:42130-43452(+); OK
AL590442:153317-154639 ; AL590442:153317-154639(+); OK
AL590451:236165-237487 ; AL590451:236165-237487(+); OK
AL391737:86463-87782 ; AL391737:86463-87782(+); OK
AL590443:100567-101886 ; AL590443:100567-101886(+); OK
AL590451:197791-199110 ; AL590451:197791-199110(+); OK
AL590448:c(147262-148578) ; AL590448:147262-148578(-); OK
AL590442:21451-22758 ; AL590442:21490-22758(+); error - start (21451/21490)
AL590445:189553-190860 ; AL590445:189553-190860(+); OK
AL590446:22420-23727 ; AL590446:22420-23727(+); OK
AL590446:c(82019-83326) ; AL590446:82019-83326(-); OK
AL590445:58944-60248 ; AL590445:58944-60248(+); OK
AL590448:79598-80902 ; AL590448:79643-80902(+); error - start (79598/79643)
AL590448:94676-95980 ; AL590448:94676-95980(+); OK
AL590448:c(198175-199479) ; AL590448:198175-199479(-); OK
AL590450:c(203550-204851) ; AL590450:203550-204851(-); OK
AL590448:163078-164376 ; AL590448:163078-164376(+); OK
AL590450:222547-223845 ; AL590450:222547-223845(+); OK
AL391737:168216-169511 ; AL391737:168216-169511(+); OK
AL590442:c(159840-161129) ; AL590442:159840-161129(-); OK
AL590442:170173-171462 ; AL590442:170173-171462(+); OK
AL590444:c(93313-94602) ; AL590444:93313-94602(-); OK
AL391737:93169-94455 ; AL391737:93169-94455(+); OK
AL590448:c(20315-21601) ; AL590448:20315-21601(-); OK
AL590451:c(85196-86482) ; AL590451:85196-86482(-); OK
AL590443:c(149514-150794) ; AL590443:149514-150794(-); OK
AL590448:140491-141771 ; AL590448:140506-141771(+); error - start (140491/140506)
AL590451:c(157345-158625) ; AL590451:157345-158625(-); OK
AL590450:c(140172-141452) ; AL590450:140172-141485(-); error - start (141452/141485)
AL590442:183975-185252 ; AL590442:183975-185252(+); OK
AL590447:c(124277-125554) ; AL590447:124277-125554(-); OK
AL590451:139001-140278 ; AL590451:139001-140278(+); OK
AL590449:c(18303-19580) ; AL590449:18303-19580(-); OK
AL590450:130472-131749 ; AL590450:130472-131749(+); OK
AL590446:183905-185179 ; AL590446:183905-185179(+); OK
AL590447:193709-194983 ; AL590447:193709-194983(+); OK
AL590451:c(97278-98552) ; AL590451:97278-98552(-); OK
AL590451:c(156034-157308) ; AL590451:156034-157308(-); OK
AL590449:220443-221717 ; AL590449:220407-221717(+); error - start (220443/220407)
AL590442:85267-86538 ; AL590442:85267-86538(+); OK
AL590449:c(245591-246862) ; AL590449:245591-246862(-); OK
AL590442:100576-101844 ; AL590442:100576-101844(+); OK
AL590446:92739-94007 ; AL590446:92739-94007(+); OK
AL590443:5400-6665 ; AL590443:5400-6665(+); OK
AL590451:c(6067-7332) ; AL590451:6067-7008(-); error - start (7332/7008)
AL590447:135034-136296 ; AL590447:135034-136296(+); OK
AL590448:45477-46739 ; AL590448:45477-46739(+); OK
AL590448:102799-104061 ; AL590448:102799-104061(+); OK
AL590451:c(26705-27967) ; AL590451:26705-27967(-); OK
AL590449:c(131357-132619) ; AL590449:131357-132619(-); OK
AL590449:c(695-1954) ; AL590450:4681-6453(-); error (695/4681)(1954/6453)
AL590446:c(16617-17873) ; AL590446:16617-17873(-); OK
AL590449:143389-144645 ; AL590449:143389-144645(+); OK
AL590450:c(160663-161919) ; AL590450:160663-161919(-); OK
AL590443:c(161146-162396) ; AL590443:161146-162396(-); OK
AL590446:c(162446-163696) ; AL590446:162780-163696(-); error - end (162446/162780)
AL590447:129344-130594 ; AL590447:129344-130594(+); OK
AL590443:155090-156337 ; AL590443:155090-156337(+); OK
AL391737:83991-85235 ; AL391737:83991-85235(+); OK
AL391737:c(111436-112680) ; AL391737:111436-112680(-); OK
AL590443:80129-81373 ; AL590443:80129-81373(+); OK
AL590444:c(189343-190587) ; AL590444:189343-190587(-); OK
AL590445:c(31007-32251) ; AL590445:31007-32242(-); error - start (32251/32242)
AL590451:c(227170-228414) ; AL590451:227170-228414(-); OK
AL590444:c(104273-105514) ; AL590444:104273-105514(-); OK
AL590445:137181-138422 ; AL590445:137181-138422(+); OK
AL590448:52424-53665 ; AL590448:52391-53665(+); error - start (52424/52391)
AL590448:60368-61609 ; AL590448:60368-61609(+); OK
AL590444:29244-30482 ; AL590444:29244-30482(+); OK
AL590449:c(231698-232936) ; AL590449:231698-232936(-); OK
AL590445:166897-168132 ; AL590445:166897-168132(+); OK
AL590447:113163-114398 ; AL590447:113217-114398(+); error - start (113163/113217)
AL590447:121570-122805 ; AL590447:121570-122805(+); OK
AL590451:34317-35552 ; AL590451:34317-35552(+); OK
AL590451:c(191006-192241) ; AL590451:191006-192262(-); error - start (192241/192262)
AL590442:165777-167009 ; AL590442:165810-167009(+); error - start (165777/165810)
AL590450:37017-38249 ; AL590450:37017-38249(+); OK
AL590447:189921-191150 ; AL590447:189921-191150(+); OK
AL590448:152295-153524 ; AL590448:152334-153524(+); error - start (152295/152334)
AL590449:12151-13380 ; AL590449:12289-13380(+); error - start (12151/12289)
AL391737:158993-160219 ; AL391737:158993-160219(+); OK
AL590442:c(29375-30601) ; AL590442:29375-30601(-); OK
AL590442:168814-170040 ; AL590442:168814-170040(+); OK
AL590447:c(185503-186729) ; AL590447:185581-186729(-); error - end (185503/185581)
AL590451:c(140308-141534) ; AL590451:140308-141534(-); OK
AL391737:c(54174-55397) ; AL391737:54174-55397(-); OK
AL590450:217144-218367 ; AL590450:217144-218367(+); OK
AL590445:25067-26287 ; AL590445:25067-26287(+); OK
AL590445:178137-179357 ; AL590445:178137-179357(+); OK
AL590448:c(27518-28735) ; AL590448:27518-28735(-); OK
AL590450:c(21821-23038) ; AL590450:21821-23038(-); OK
AL590445:57660-58874 ; AL590445:57660-58874(+); OK
AL590445:180037-181251 ; AL590445:180037-181251(+); OK
AL590444:153569-154780 ; AL590444:153569-154780(+); OK
AL590446:c(114038-115249) ; AL590446:114038-115249(-); OK
AL590451:c(44964-46175) ; AL590451:44964-46175(-); OK
AL590451:c(202642-203853) ; AL590451:202642-203853(-); OK
AL590444:46109-47314 ; AL590444:46154-47314(+); error - start (46109/46154)
AL590447:125588-126793 ; AL590447:125588-126793(+); OK
AL590451:231377-232582 ; AL590451:231377-232582(+); OK
AL590449:34499-35704 ; AL590449:34499-35704(+); OK
AL590449:c(200953-202158) ; AL590449:200953-202158(-); OK
AL590444:26845-28047 ; AL590444:26908-28047(+); error - start (26845/26908)
AL590445:c(48267-49469) ; AL590445:48267-49469(-); OK
AL590445:c(63317-64519) ; AL590445:63317-64519(-); OK
AL590451:35610-36812 ; AL590451:35610-36812(+); OK
AL590449:49037-50239 ; AL590449:49037-50239(+); OK
AL590450:c(65506-66708) ; AL590450:65506-66708(-); OK
AL391737:c(124298-125497) ; AL391737:124298-125497(-); OK
AL590445:c(159977-161176) ; AL590445:159977-161176(-); OK
AL590451:28222-29421 ; AL590451:28222-29421(+); OK
AL590451:170640-171839 ; AL590451:170640-171839(+); OK
AL590447:c(96803-97999) ; AL590447:96803-97999(-); OK
AL590447:c(132995-134191) ; AL590447:132995-134191(-); OK
AL590449:236141-237337 ; AL590449:236141-237337(+); OK
AL590445:c(46346-47539) ; AL590445:46346-47563(-); error - start (47539/47563)
AL590445:97162-98355 ; AL590445:97162-98355(+); OK
AL391737:59924-61114 ; AL391737:59924-61114(+); OK
AL590443:c(152719-153909) ; AL590443:152719-153909(-); OK
AL590449:c(202229-203419) ; AL590449:202229-203419(-); OK
AL590445:c(68803-69990) ; AL590445:68803-69990(-); OK
AL590446:c(35256-36443) ; ND ; ND
AL590446:c(210557-211744) ; AL590446:210557-211744(-); OK
AL590443:c(52875-54059) ; AL590443:52875-54119(-); error - start (54059/54119)
AL590445:c(186270-187454) ; AL590445:186270-187454(-); OK
AL590446:c(190230-191414) ; AL590446:190230-191414(-); OK
AL590445:164544-165725 ; AL590445:164544-165725(+); OK
AL590444:c(47453-48631) ; AL590444:47453-48631(-); OK
AL590447:23602-24780 ; AL590447:23623-24780(+); error - start (23602/23623)
AL590448:c(37641-38819) ; AL590448:37641-38819(-); OK
AL590451:c(220272-221450) ; AL590451:220272-221450(-); OK
AL590450:c(86613-87791) ; AL590450:86613-87791(-); OK
AL590446:c(131084-132259) ; AL590446:131084-132259(-); OK
AL590446:c(212167-213342) ; ND ; ND
AL590443:81414-82586 ; AL590443:81600-82586(+); error - start (81414/81600)
AL590447:c(24823-25995) ; AL590447:24823-25995(-); OK
AL590448:174636-175808 ; AL590448:174636-175808(+); OK
AL590442:97734-98903 ; AL590442:97734-98903(+); OK
AL590446:43401-44570 ; AL590446:43401-44570(+); OK
AL590447:c(67846-69015) ; AL590447:67846-69015(-); OK
AL590447:77312-78481 ; AL590447:77312-78481(+); OK
AL590448:166546-167715 ; AL590448:166546-167715(+); OK
AL590449:c(222743-223912) ; AL590449:222743-223912(-); OK
AL590445:45157-46323 ; AL590445:45157-46323(+); OK
AL590446:73019-74185 ; AL590446:73019-74185(+); OK
AL590451:c(137458-138624) ; AL590451:137458-138624(-); OK
AL590449:c(16548-17714) ; AL590449:16548-17714(-); OK
AL590450:213404-214570 ; AL590450:213404-214570(+); OK
AL590445:138821-139984 ; AL590445:138821-139984(+); OK
AL590445:c(140305-141468) ; AL590445:140305-141468(-); OK
AL590448:217817-218980 ; AL590448:217817-218980(+); OK
AL590448:217817-218980 ; AL590449:14580-15743(+); error (217817/14580)(218980/15743)
AL590451:201437-202600 ; AL590451:201437-202600(+); OK
AL590442:77097-78257 ; AL590442:77097-78257(+); OK
AL590445:c(49544-50704) ; AL590445:49544-50677(-); error - start (50704/50677)
AL590445:85028-86185 ; AL590445:85028-86185(+); OK
AL590450:c(75244-76401) ; AL590450:75244-76401(-); OK
AL590447:c(95557-96711) ; AL590447:95557-96711(-); OK
AL590451:c(221733-222887) ; AL590451:221733-222887(-); OK
AL391737:140515-141666 ; AL391737:140515-141666(+); OK
AL590443:143935-145086 ; AL590443:143935-145086(+); OK
AL590443:143935-145086 ; AL590451:120959-122110(-); error (143935/120959)(145086/122110)
AL590444:206449-207597 ; AL590444:206449-207597(+); OK
AL590444:206449-207597 ; AL590447:70404-71552(+); error (206449/70404)(207597/71552)
AL590449:c(60697-61845) ; AL590449:60697-61845(-); OK
AL590447:37914-39056 ; AL590447:37914-39056(+); OK
AL590449:c(209452-210594) ; AL590449:209452-210594(-); OK
AL590444:c(25546-26685) ; AL590444:25546-26685(-); OK
AL590443:150847-151983 ; AL590443:150847-151983(+); OK
AL590446:178008-179141 ; AL590446:178008-179141(+); OK
AL590451:c(90361-91494) ; AL590451:90361-91494(-); OK
AL590449:c(89344-90477) ; AL590449:89344-90477(-); OK
AL391737:c(142888-144018) ; AL391737:142888-144018(-); OK
AL590445:c(194730-195860) ; AL590445:194730-195860(-); OK
AL590449:c(114751-115881) ; AL590449:114751-115881(-); OK
AL391737:61343-62470 ; AL391737:61343-62470(+); OK
AL391737:c(133736-134863) ; AL391737:133736-134863(-); OK
AL391737:c(141674-142801) ; AL391737:141674-142519(-); error - start (142801/142519)
AL590447:c(83426-84553) ; AL590447:83426-84553(-); OK
AL590448:c(35009-36136) ; AL590448:35009-36136(-); OK
AL590450:c(256161-257285) ; AL590450:256161-257285(-); OK
AL590445:148189-149310 ; AL590445:148189-149310(+); OK
AL590444:c(213718-214836) ; AL590444:213718-214836(-); OK
AL590447:114515-115633 ; AL590447:114524-115633(+); error - start (114515/114524)
AL590448:33746-34864 ; AL590448:33719-34864(+); error - start (33746/33719)
AL590451:73344-74462 ; AL590451:73353-74462(+); error - start (73344/73353)
AL590450:join(110822..111276,111302..111711,111737..111990) ; AL590450:110828-111228(+); error (73344/110828)(74462/111228)
AL391737:c(166655-167770) ; AL391737:166655-167770(-); OK
AL590447:50195-51307 ; AL590447:50195-51307(+); OK
AL590447:138730-139842 ; AL590447:138775-139842(+); error - start (138730/138775)
AL590448:c(180576-181688) ; AL590448:180576-181688(-); OK
AL590443:c(178330-179439) ; AL590443:178330-179439(-); OK
AL590446:154727-155836 ; AL590446:154727-155836(+); OK
AL590448:c(112160-113269) ; AL590448:112160-113269(-); OK
AL590445:111275-112381 ; AL590445:111275-112381(+); OK
AL590449:c(20433-21539) ; AL590449:20433-21539(-); OK
AL590450:c(164927-166030) ; AL590450:164927-166249(-); error - start (166030/166249)
AL590448:c(9057-10157) ; AL391737:26252-26943(-); error (9057/26252)(10157/26943)
AL590448:c(9057-10157) ; AL391737:183040-183731(+); error (9057/183040)(10157/183731)
AL590448:c(9057-10157) ; AL590448:9466-10157(-); error - end (9057/9466)
AL590448:47352-48452 ; AL590448:47352-48452(+); OK
AL590450:98954-100054 ; AL590450:98954-100054(+); OK
AL590442:182779-183876 ; AL590442:182779-183876(+); OK
AL391737:c(164146-165240) ; AL391737:164146-165240(-); OK
AL590445:c(176969-178063) ; AL590445:176969-178063(-); OK
AL590447:c(42393-43487) ; AL590447:42393-43487(-); OK
AL590448:145024-146118 ; AL590448:145024-146118(+); OK
AL590451:c(52528-53622) ; AL590451:52528-53622(-); OK
AL590442:32734-33825 ; AL590442:32734-33825(+); OK
AL590448:c(178278-179369) ; AL590448:178278-179351(-); error - start (179369/179351)
AL590448:215526-216617 ; AL590448:215526-216617(+); OK
AL590450:48390-49481 ; AL590450:48390-49481(+); OK
AL590444:161171-162259 ; AL590444:161171-162259(+); OK
AL590445:c(56511-57599) ; AL590445:56511-57599(-); OK
AL590448:146166-147254 ; AL590448:146166-147254(+); OK
AL590450:c(38276-39361) ; AL590450:38276-39232(-); error - start (39361/39232)
AL590444:c(75879-76961) ; AL590444:75879-76961(-); OK
AL590444:c(193342-194421) ; AL590444:193342-194421(-); OK
AL590448:188846-189925 ; AL590448:188855-189925(+); error - start (188846/188855)
AL590450:144131-145210 ; AL590450:144131-145210(+); OK
AL590443:c(57828-58904) ; AL590443:57828-58904(-); OK
AL590449:c(102627-103703) ; AL590449:102627-103703(-); OK
AL391737:c(97379-98452) ; AL391737:97379-98452(-); OK
AL590445:c(127779-128852) ; AL590445:127779-128852(-); OK
AL590445:134130-135203 ; AL590445:134208-135203(+); error - start (134130/134208)
AL590445:101133-102203 ; AL590445:101100-102203(+); error - start (101133/101100)
AL590449:147788-148858 ; AL590449:147788-148858(+); OK
AL590450:c(245766-246836) ; AL590450:245766-246836(-); OK
AL590443:159056-160123 ; AL590443:159056-160123(+); OK
AL590445:89196-90263 ; AL590445:89196-90263(+); OK
AL590446:c(194030-195094) ; AL590446:194030-195094(-); OK
AL590449:c(107161-108225) ; AL590449:107161-108225(-); OK
AL590449:c(176080-177144) ; AL590449:176080-177153(-); error - start (177144/177153)
AL590443:c(60562-61623) ; AL590443:60562-61623(-); OK
AL590448:c(85495-86556) ; AL590448:85495-86556(-); OK
AL590444:53421-54479 ; AL590444:53421-54479(+); OK
AL590451:38251-39309 ; AL590451:38251-39309(+); OK
AL590449:c(99768-100826) ; AL590449:99768-100856(-); error - start (100826/100856)
AL590449:212697-213755 ; AL590449:212697-213755(+); OK
AL590450:c(129330-130388) ; AL590450:129330-130388(-); OK
AL590448:c(216651-217706) ; AL590448:216651-217706(-); OK
AL590445:82552-83604 ; AL590445:82552-83604(+); OK
AL590447:90592-91644 ; AL590447:90592-91644(+); OK
AL590451:c(99597-100649) ; AL590451:99597-100649(-); OK
AL590447:140607-141656 ; AL590447:140607-141656(+); OK
AL590451:c(116691-117740) ; AL590451:116691-117740(-); OK
AL590451:c(124577-125626) ; AL590451:124577-125626(-); OK
AL590444:100744-101790 ; AL590444:100744-101790(+); OK
AL590444:c(154868-155914) ; AL590444:154868-155914(-); OK
AL590443:126426-127469 ; AL590443:126426-127469(+); OK
AL590443:c(162474-163517) ; AL590443:162474-163517(-); OK
AL590447:c(120104-121147) ; AL590447:120104-121147(-); OK
AL590450:199645-200688 ; AL590450:199645-200688(+); OK
AL391737:98899-99939 ; AL391737:98899-99939(+); OK
AL590443:130227-131264 ; AL590443:130227-131264(+); OK
AL590444:c(113945-114982) ; AL590444:113945-114982(-); OK
AL590444:183037-184074 ; AL590444:183037-184074(+); OK
AL590445:c(38598-39635) ; AL590445:38598-39635(-); OK
AL590450:94235-95272 ; AL590450:94235-95272(+); OK
AL590450:166351-167388 ; AL590450:166351-167388(+); OK
AL590443:48410-49444 ; AL590443:48410-49444(+); OK
AL590444:c(28063-29097) ; AL590444:28063-29097(-); OK
AL590451:c(41127-42161) ; AL590451:41127-42161(-); OK
AL590451:87852-88886 ; AL590451:87852-88886(+); OK
AL590445:165824-166855 ; AL590445:165824-166855(+); OK
AL590450:241887-242915 ; AL590450:241887-242915(+); OK
AL590442:c(31444-32469) ; AL590442:31444-32469(-); OK
AL590444:142503-143528 ; AL590444:142503-143528(+); OK
AL590446:c(141242-142267) ; AL590446:141242-142267(-); OK
AL590447:191209-192234 ; AL590447:191209-192234(+); OK
AL391737:c(100512-101534) ; AL391737:100512-101534(-); OK
AL590442:44278-45300 ; AL590442:44338-45300(+); error - start (44278/44338)
AL590444:34170-35192 ; AL590444:34170-35192(+); OK
AL590451:c(244349-245371) ; AL590451:244349-245293(-); error - start (245371/245293)
AL590444:174442-175461 ; AL590444:174442-175461(+); OK
AL590446:c(143827-144846) ; AL590446:143894-144846(-); error - end (143827/143894)
AL590450:204918-205937 ; AL590450:205038-205937(+); error - start (204918/205038)
AL391737:c(39692-40708) ; AL391737:39692-40705(-); error - start (40708/40705)
AL590443:125346-126362 ; AL590443:125346-126362(+); OK
AL590445:133014-134030 ; AL590445:133014-134030(+); OK
AL590448:192218-193234 ; AL590448:192218-193222(+); error - end (193234/193222)
AL590445:147119-148132 ; AL590445:147089-148132(+); error - start (147119/147089)
AL590451:c(185308-186321) ; AL590451:185308-186321(-); OK
AL590442:c(63325-64335) ; AL590442:63325-64335(-); OK
AL590443:c(73095-74105) ; AL590443:73095-74105(-); OK
AL590444:c(184687-185697) ; AL590444:184687-185697(-); OK
AL590449:c(68377-69387) ; AL590449:68377-69366(-); error - start (69387/69366)
AL590449:248721-249731 ; AL590449:249243-249584(+); error (248721/249243)(249731/249584)
AL391737:90651-91658 ; AL391737:90651-91658(+); OK
AL590442:c(35429-36436) ; AL590442:35429-36436(-); OK
AL590444:c(66983-67990) ; AL590444:66983-67990(-); OK
AL590448:c(96038-97045) ; AL590448:96038-97045(-); OK
AL590450:224067-225074 ; AL590450:224067-225074(+); OK
AL590447:c(154625-155629) ; AL590447:154625-155629(-); OK
AL590448:127087-128091 ; AL590448:127087-128091(+); OK
AL590451:113022-114026 ; AL590451:113022-114026(+); OK
AL590450:c(107775-108779) ; AL590450:107775-108779(-); OK
AL590450:193504-194508 ; AL590450:193504-194508(+); OK
AL590443:c(20985-21986) ; AL590443:20985-22004(-); error - start (21986/22004)
AL590444:151345-152346 ; AL590444:151345-152346(+); OK
AL590445:19131-20132 ; AL590445:19131-20132(+); OK
AL590447:c(44688-45689) ; AL590447:44688-45689(-); OK
AL590450:c(93072-94073) ; AL590450:93072-94106(-); error - start (94073/94106)
AL590442:c(15886-16881) ; AL590442:15886-16881(-); OK
AL590443:c(183950-184945) ; AL590443:183950-184945(-); OK
AL590447:22116-23111 ; AL590447:22116-23111(+); OK
AL590451:18257-19252 ; AL590451:18257-19252(+); OK
AL590451:66108-67103 ; AL590451:66108-67103(+); OK
AL590451:c(81381-82376) ; AL590451:81381-82376(-); OK
AL590443:145210-146202 ; AL590443:145210-146202(+); OK
AL590444:c(159226-160218) ; AL590444:159226-160218(-); OK
AL590447:93521-94513 ; AL590447:93521-94513(+); OK
AL590444:196231-197220 ; AL590444:196231-197220(+); OK
AL590448:c(169086-170075) ; AL590448:169086-170075(-); OK
AL590449:23333-24322 ; AL590449:23333-24322(+); OK
AL590450:c(74017-75006) ; AL590450:74017-75006(-); OK
AL590450:c(125836-126825) ; AL590450:125836-126825(-); OK
AL590450:247074-248063 ; AL590450:247074-248063(+); OK
AL590445:22937-23920 ; AL590445:22946-23920(+); error - start (22937/22946)
AL590447:c(101850-102833) ; AL590447:101850-102833(-); OK
AL590451:c(145200-146183) ; AL590451:145200-146213(-); error - start (146183/146213)
AL590450:c(95703-96686) ; AL590450:95703-96686(-); OK
AL590451:c(144154-145134) ; AL590451:144154-145095(-); error - start (145134/145095)
AL590450:c(121748-122728) ; AL590450:121748-122728(-); OK
AL590444:22852-23829 ; AL590444:22852-23829(+); OK
AL590446:c(94820-95797) ; AL590446:94820-95797(-); OK
AL590447:c(148145-149122) ; AL590447:148145-149038(-); error - start (149122/149038)
AL590445:c(155390-156364) ; AL590445:155390-156364(-); OK
AL590442:151263-152234 ; AL590442:151263-152234(+); OK
AL590446:153667-154638 ; AL590446:153667-154638(+); OK
AL590444:146708-147676 ; AL590444:146708-147676(+); OK
AL590447:69263-70231 ; AL590447:69263-70231(+); OK
AL590447:103009-103977 ; AL590447:103009-103977(+); OK
AL590448:c(181903-182871) ; AL590448:181903-182871(-); OK
AL590449:187651-188619 ; AL590449:187651-188619(+); OK
AL590450:c(114249-115217) ; AL590450:114249-115217(-); OK
AL590446:173613-174578 ; AL590446:173613-174578(+); OK
AL590450:c(191499-192464) ; AL590450:191499-192464(-); OK
AL590451:188402-189364 ; AL590451:188402-189364(+); OK
AL590450:c(211501-212463) ; AL590450:211501-212463(-); OK
AL590445:183134-184093 ; AL590445:183134-184093(+); OK
AL590445:c(190984-191943) ; AL590445:190984-191943(-); OK
AL590446:171370-172329 ; AL590446:171370-172329(+); OK
AL590451:c(192306-193265) ; AL590451:192306-193265(-); OK
AL590442:c(118301-119257) ; AL590442:118301-119257(-); OK
AL590444:c(69489-70445) ; AL590444:69489-70445(-); OK
AL590445:c(96123-97079) ; AL590445:96123-97079(-); OK
AL590446:c(197425-198381) ; AL590446:197425-198381(-); OK
AL590447:149272-150228 ; AL590447:149272-150228(+); OK
AL590448:c(148652-149608) ; AL590448:148652-149608(-); OK
AL590450:c(248960-249916) ; AL590450:248960-249916(-); OK
AL590443:146266-147219 ; AL590443:146275-146972(+); error (146266/146275)(147219/146972)
AL590451:c(93861-94814) ; AL590451:93861-94814(-); OK
AL590450:c(90501-91454) ; AL590450:90501-91454(-); OK
AL590450:c(163891-164838) ; AL590450:163891-164877(-); error - start (164838/164877)
AL590442:9533-10477 ; ND ; ND
AL590447:182600-183544 ; AL590447:182600-183544(+); OK
AL590448:c(130600-131544) ; AL590448:130600-131544(-); OK
AL590445:103715-104656 ; AL590445:103715-104656(+); OK
AL590448:44428-45369 ; AL590448:44428-45369(+); OK
AL590446:146280-147218 ; AL590446:146280-147218(+); OK
AL590448:106236-107174 ; AL590448:106236-107174(+); OK
AL590451:c(208672-209610) ; AL590451:208672-209610(-); OK
AL590450:195362-196300 ; AL590450:195362-196300(+); OK
AL590447:116467-117402 ; AL590447:116467-117402(+); OK
AL590447:212334-213269 ; AL590447:212379-213269(+); error - start (212334/212379)
AL590448:c(join(107942..108119,108144..108450,108476..108926)) ; AL590448:108545-108926(-); error (212334/108545)(213269/108926)
AL590451:c(80415-81350) ; AL590451:80415-81350(-); OK
AL590448:170141-171073 ; AL590448:170141-171073(+); OK
AL590450:c(81995-82927) ; AL590450:81995-82885(-); error - start (82927/82885)
AL590442:c(108658-109587) ; AL590442:108658-109587(-); OK
AL590445:c(182050-182979) ; AL590445:182050-182979(-); OK
AL590448:c(179495-180424) ; AL590448:179495-180424(-); OK
AL590448:c(193940-194869) ; AL590448:193940-194869(-); OK
AL590451:151011-151940 ; AL590451:151011-151940(+); OK
AL590449:c(69498-70427) ; AL590449:69498-70427(-); OK
AL590442:174774-175700 ; AL590442:174774-175700(+); OK
AL590444:c(32513-33436) ; AL590444:32513-33436(-); OK
AL590446:c(167496-168419) ; AL590446:167496-168419(-); OK
AL590451:51271-52194 ; AL590451:51271-52194(+); OK
AL391737:c(125625-126545) ; AL391737:125625-126545(-); OK
AL590449:118336-119256 ; AL590449:118336-119256(+); OK
AL391737:c(75459-76376) ; AL391737:75459-76382(-); error - start (76376/76382)
AL590442:34454-35371 ; AL590442:34454-35371(+); OK
AL590443:160208-161125 ; AL590443:160208-161125(+); OK
AL590446:c(151956-152873) ; AL590446:151956-152873(-); OK
AL590447:c(43589-44506) ; AL590447:43589-44533(-); error - start (44506/44533)
AL590448:join(117812..118292,118317..118608,118632..118776) ; ND ; ND
AL590451:36869-37786 ; AL590451:36869-37786(+); OK
AL590443:109718-110632 ; AL590443:109718-110632(+); OK
AL590449:c(221767-222681) ; AL590449:221767-222681(-); OK
AL590444:c(145091-146002) ; AL590444:145091-146002(-); OK
AL590446:c(66575-67486) ; AL590446:66575-67297(-); error - start (67486/67297)
AL590443:c(173222-174130) ; AL590443:173222-173992(-); error - start (174130/173992)
AL590444:119771-120679 ; AL590444:119771-120679(+); OK
